template,docked,rmsd,exception
2IEJ_S48,1JCQ_739_1,2.2317758015386175,
2IEJ_S48,1SA4_JAN_1,9.30479474226671,
2IEJ_S48,1MZC_BNE_2,5.452853658799738,
2IEJ_S48,1LD7_U66_3,2.3998708572893404,
2IEJ_S48,1S63_778_1,10.891113908201888,
2IEJ_S48,3E37_ED5_1,10.480700776120432,
2IEJ_S48,2IEJ_S48_3,6.490700273995258,
1LD7_U66,1JCQ_739_2,9.849228223402411,
1LD7_U66,1SA4_JAN_1,5.7186938284308715,
1LD7_U66,1MZC_BNE_1,0.4926786342705139,
1LD7_U66,1LD7_U66_1,6.975829043751506,
1LD7_U66,1S63_778_3,0.9336133585876638,
1LD7_U66,3E37_ED5_1,6.207050128415805,
1LD7_U66,2IEJ_S48_3,3.569911668608436,
1S63_778,1JCQ_739_3,2.437453070024412,
1S63_778,1SA4_JAN_2,6.904176135292527,
1S63_778,1MZC_BNE_2,0.3055964204996855,
1S63_778,1LD7_U66_3,6.940689597583222,
1S63_778,1S63_778_3,5.416366152180143,
1S63_778,3E37_ED5_3,5.122798578657959,
1S63_778,2IEJ_S48_2,6.916653978932711,
1JCQ_739,1JCQ_739_1,2.8418873560385487,
1JCQ_739,1SA4_JAN_3,6.7010916855816465,
1JCQ_739,1MZC_BNE_3,4.838894359897724,
1JCQ_739,1LD7_U66_1,5.825889129137287,
1JCQ_739,1S63_778_1,5.850357592489539,
1JCQ_739,3E37_ED5_2,7.219232775025336,
1JCQ_739,2IEJ_FII_2,5.16081172084392,
1JCQ_739,2IEJ_S48_1,4.303259803916098,
1JCQ_739,1LD8_FPP_2,4.1911440426213,
1SA4_JAN,1JCQ_739_3,2.680170647285621,
1SA4_JAN,1SA4_JAN_3,6.912289772637509,
1SA4_JAN,1MZC_BNE_2,2.0716914323118467,
1SA4_JAN,1LD7_U66_1,1.6496185715694005,
1SA4_JAN,1S63_778_3,3.5689713223840824,
1SA4_JAN,3E37_ED5_3,8.01271274377696,
1SA4_JAN,2IEJ_S48_2,7.809215537061689,
2IEJ_FII,1JCQ_739_3,9.522259550757902,
2IEJ_FII,2IEJ_FII_3,1.8671645392591052,
2IEJ_FII,1LD8_FPP_3,3.0348161985118636,
3E37_ED5,1JCQ_739_2,2.5736601523899747,
3E37_ED5,1SA4_JAN_3,9.375441573295936,
3E37_ED5,1MZC_BNE_2,11.75373921774471,
3E37_ED5,1LD7_U66_1,3.861652496017738,
3E37_ED5,1S63_778_3,9.559954805463255,
3E37_ED5,3E37_ED5_1,9.426510477766515,
3E37_ED5,2IEJ_S48_2,9.212722659065404,
1MZC_BNE,1JCQ_739_1,7.381398269806338,
1MZC_BNE,1SA4_JAN_1,4.613899483250417,
1MZC_BNE,1MZC_BNE_1,2.208512499333949,
1MZC_BNE,1LD7_U66_1,1.415905338761503,
1MZC_BNE,1S63_778_2,4.909423710353161,
1MZC_BNE,3E37_ED5_2,5.1666966884074,
1MZC_BNE,2IEJ_S48_2,7.505370163327816,
1LD8_FPP,1JCQ_739_3,2.98208245895381,
1LD8_FPP,2IEJ_FII_3,6.311796603483832,
1LD8_FPP,1LD8_FPP_3,2.1456561723631316,
2QOH_P3Y,1FPU_PRC_3,3.8502929286830456,
2QOH_P3Y,6HD6_FYH_2,3.6337060652658724,
2QOH_P3Y,6HD4_FYW_3,4.57461920141994,
2QOH_P3Y,2QOH_P3Y_3,1.8494016372097988,
2QOH_P3Y,3MS9_MS9_2,3.6143844904769047,
2QOH_P3Y,3K5V_STJ_1,8.567215801239046,
2QOH_P3Y,3K5V_STI_3,6.1992004649793335,
3MS9_MS9,1FPU_PRC_3,7.5335620777956045,
3MS9_MS9,6HD6_FYH_3,9.5195566318763,
